date,Current Portfolio_drawdown,KAW Core Revised Internal_drawdown,QQQ 100%_drawdown,benchmark_drawdown
2022-09-30,-0.044755181250927145,-0.0797011170840708,-0.1894095514864701,-0.08565452436933496
2022-10-31,-0.009540791240051472,-0.08711303297991413,-0.16200903981569992,-0.01723013743315782
2022-11-30,-0.009520523187080965,-0.07686454868788362,-0.17544816164798094,-0.032853828268609275
2022-12-31,-0.0744130077260311,-0.1280137513180546,-0.2782340227362343,-0.1333627944601068
2023-01-31,-0.04619064607698342,-0.10076434194620976,-0.22871484513370577,-0.09988309957880304
2023-02-28,-0.018044966969761767,-0.08233894132523112,-0.1772913896925603,-0.060631019240855566
2023-03-31,0.0,-0.056501450288039434,-0.11412360108239528,-0.04194725956403356
2023-04-30,0.0,-0.022582534424796408,-0.08016958858013112,0.0
2023-05-31,-0.00947160147045889,-0.04396129038205643,-0.020728701035876984,-0.008622137250695272
2023-06-30,0.0,-0.030834109626572404,0.0,0.0
2023-07-31,0.0,-0.04485598071883978,0.0,-0.002500924800868165
2023-08-31,0.0,-0.0402929664874726,0.0,0.0
2023-09-30,-0.018739745963996968,-0.06720762632569643,-0.039345200547961645,-0.030743890055949685
2023-10-31,-0.01909959093936986,-0.08979004935462764,-0.05396165751608717,-0.05163032128596712
2023-11-30,0.0,-0.06840127087663062,0.0,-0.01084578537106462
2023-12-31,0.0,-0.009703218314708995,0.0,0.0
2024-01-31,0.0,-0.007891387092730406,0.0,0.0
2024-02-29,0.0,0.0,0.0,0.0
2024-03-31,0.0,0.0,0.0,0.0
2024-04-30,0.0,-0.001258472750656825,-0.018474529322268562,-0.014966038761446199
2024-05-31,0.0,0.0,0.0,0.0
2024-06-30,0.0,0.0,0.0,0.0
2024-07-31,-0.005195809896408887,0.0,-0.030271462426974094,-0.0017776035679196722
2024-08-31,-0.014864060317042016,-0.013118096716118854,-0.044681337064605975,-0.004621002027219601
2024-09-30,0.0,0.0,-0.03254519282414081,0.0
2024-10-31,0.0,0.0,0.0,0.0
2024-11-30,0.0,0.0,0.0,0.0
2024-12-31,0.0,0.0,0.0,0.0
2025-01-31,0.0,-0.0013918350379765743,-0.008461904271383935,0.0
2025-02-28,0.0,0.0,-0.029780673008221625,-0.007079191146383779
2025-03-31,0.0,0.0,-0.08971627855577324,-0.048112434724164266
2025-04-30,-0.01880627308989513,-0.02533731972674569,-0.10723139902330281,-0.08727148613561164
2025-05-31,-0.0030857849351707545,-0.04851549058778837,-0.06180762558200481,-0.06625503748847494
2025-06-30,0.0,-0.029063631180282767,-0.01785360079740772,-0.03396908910020702
2025-07-31,0.0,-0.0016340106821920442,0.0,0.0
2025-08-31,0.0,0.0,0.0,0.0
2025-09-30,0.0,0.0,0.0,0.0
2025-10-31,0.0,0.0,0.0,0.0
2025-11-30,0.0,0.0,0.0,0.0
2025-12-31,-0.008328283657614621,-0.0062548971235074635,-0.016712792038450996,-0.015288936878936399
2026-01-31,0.0,0.0,-0.016933300806342477,-0.007134922069951255
2026-02-28,0.0,0.0,-0.03758979651317296,-0.01326283801664141
2026-03-31,-0.01624726183105163,-0.030074811202167817,-0.03874876103910729,-0.015483721436609699
2026-04-30,0.0,-1.548031006748385e-05,0.0,0.0
2026-05-31,0.0,0.0,0.0,0.0
2026-06-30,0.0,0.0,0.0,0.0
2026-07-31,-0.1045851526207694,-0.11523766254883272,-0.142965957499969,-0.0823418340649481
2026-08-31,-0.07854271618143971,-0.10362118836056522,-0.13276144899707054,-0.08163424536463548
